Z,Pitch,Roll,Volume,Area,VCx,VCy,VCz,ACx,ACy,ACz
-0.12,-45,0,0.1463486912502761,1.093122686558445,0.8942543864250183,1.3703135515186204e-08,-0.1835748553276062,1.0971556901931765,3.691703298613902e-08,-0.2556322813034057
-0.12,-45,2,0.146368920863732,1.0956554721317673,0.8941725492477417,0.0008516612579114,-0.1835831999778747,1.0961896181106567,0.0012745740823447,-0.2552110552787781
-0.12,-45,4,0.1464296050721353,1.0962317410635125,0.8939276337623596,0.0017015646444633,-0.1836078315973281,1.0957891941070557,0.0027890708297491,-0.2552435994148254
-0.12,-45,8,0.1466719220477655,1.0374549959086323,0.8929533958435059,0.0033889960031956,-0.1837066859006881,1.1274751424789429,-0.0126045225188136,-0.2596453130245209
-0.12,-45,14,0.1473341504074436,0.9415197080256164,0.8902966976165771,0.0058635603636503,-0.1839741170406341,1.1066819429397583,-0.0354452766478061,-0.265564501285553
-0.12,-45,22,0.1487591764434314,0.9403084712798772,0.8846124410629272,0.0089898072183132,-0.1845376938581466,1.1065058708190918,-0.0320008918642997,-0.266448050737381
-0.12,-45,30,0.1507694279552305,0.9428464544907628,0.8766685724258423,0.0118345823138952,-0.1853048354387283,1.1026508808135986,-0.0289881266653537,-0.2673474848270416
-0.12,-45,36,0.1526310010396502,0.9460651427489212,0.8693876266479492,0.0137386135756969,-0.1859864741563797,1.092409610748291,-0.0271041076630353,-0.2685536444187164
-0.12,-45,45,0.1559300015177835,0.9728201935949984,0.8566572666168213,0.0161709189414978,-0.1871296465396881,1.082274079322815,-0.028086656704545,-0.2665546238422394
-0.12,-45,60,0.1625097368213985,1.1323793325856286,0.8319371342658997,0.0189581494778394,-0.1891974806785583,1.0592581033706665,-0.0396570041775703,-0.2480114996433258
-0.12,-30,0,0.111931543788022,0.8338612438587916,1.0148260593414309,1.2108958280521165e-08,-0.1717429459095001,1.2537122964859009,6.941198193999298e-08,-0.2399500608444214
-0.12,-30,2,0.1119616496677576,0.835253999079896,1.0146631002426147,0.0018692264566197,-0.1717552989721298,1.2523341178894043,0.0030596598517149,-0.2397081851959228
-0.12,-30,4,0.112052016164739,0.8363649139809013,1.0141724348068235,0.0037337723188102,-0.1717926412820816,1.2514221668243408,0.0062859850004315,-0.2396673262119293
-0.12,-30,8,0.112413723457858,0.7992542018128006,1.012217402458191,0.0074302186258137,-0.1719429939985275,1.2795301675796509,-0.0023799433838576,-0.2434688806533813
-0.12,-30,14,0.1134122562328939,0.8001823640466199,1.006890892982483,0.0128233041614294,-0.1723634302616119,1.2778754234313965,0.0040837014093995,-0.2444413304328918
-0.12,-30,22,0.1156156353103962,0.8066356077816863,0.9955085515975952,0.0195346847176551,-0.1733183860778808,1.271420121192932,0.0125767700374126,-0.2463835328817367
-0.12,-30,30,0.118834320181399,0.717446178000273,0.9796570539474488,0.025465652346611,-0.174764484167099,1.2563804388046265,-0.0088190110400319,-0.2559294104576111
-0.12,-30,36,0.1219128684174443,0.7373332298582227,0.9652157425880432,0.029283195734024,-0.1761873960494995,1.2413978576660156,-0.0048632766120135,-0.2565267980098724
-0.12,-30,45,0.1275444647552767,0.8082557878597072,0.94024395942688,0.033845629543066,-0.1788178533315658,1.2101261615753174,-0.0072705405764281,-0.2519868016242981
-0.12,-30,60,0.1389890270627594,1.0360600976237038,0.8945456147193909,0.0376603044569492,-0.1841707378625869,1.169413447380066,-0.017376460134983,-0.2307308316230774
-0.12,-22,0,0.0829533368422426,0.6340336804350954,1.1349517107009888,4.343909765225362e-08,-0.1657101362943649,1.3893964290618896,8.172968080089049e-08,-0.2320196479558944
-0.12,-22,2,0.0829955853481953,0.6325569906493911,1.1346478462219238,0.0031762099824845,-0.1657261699438095,1.3913909196853638,0.0046911817044019,-0.2325819879770279
-0.12,-22,4,0.083122338663206,0.6325032717344357,1.1337376832962036,0.0063390303403139,-0.1657742708921432,1.3917174339294434,0.0095070200040936,-0.2329870611429214
-0.12,-22,8,0.0836259942072571,0.637137162975705,1.1301308870315552,0.0125689143314957,-0.165963128209114,1.386092185974121,0.0195167362689971,-0.233237087726593
-0.12,-22,14,0.0849877610647632,0.6205364881407149,1.120482325553894,0.0214732438325881,-0.1664534211158752,1.4044970273971558,0.021488519385457,-0.2375586777925491
-0.12,-22,22,0.0878664366423978,0.631076427035623,1.1006193161010742,0.0320984162390232,-0.1674034297466278,1.3924200534820557,0.0326434299349784,-0.240250825881958
-0.12,-20,30,0.0835468566113554,0.6260362487844304,1.1056560277938845,0.0466196350753307,-0.1675396263599395,1.3960620164871216,0.0404133200645446,-0.2354921400547027
-0.12,-20,36,0.0876033249235548,0.6786739540426652,1.0787439346313477,0.0527624487876892,-0.1686988919973373,1.363865852355957,0.0393217988312244,-0.2321385145187378
-0.12,-20,45,0.0948273466363697,0.7192366514040245,1.0346553325653076,0.0598470047116279,-0.1708602458238601,1.3454569578170776,0.0062209931202232,-0.2263297140598297
-0.12,-20,60,0.1094600592169275,0.889518463753177,0.9622371196746826,0.0649547725915908,-0.1767102628946304,1.2613704204559326,0.0107651920989155,-0.2200004458427429
-0.12,-16,0,0.0499858918427335,0.3823274034075439,1.3001666069030762,2.942590704435588e-08,-0.1611516624689102,1.591800332069397,8.456291311631503e-08,-0.2268748730421066
-0.12,-16,2,0.050053267328133,0.384819295763009,1.2995117902755735,0.0046964259818196,-0.1611638069152832,1.5881507396697998,0.0071504842489957,-0.2260521948337555
-0.12,-16,4,0.0502550038951672,0.3877681323929209,1.2975585460662842,0.0093894908204674,-0.1612008959054947,1.58341646194458,0.0144055066630244,-0.2255674004554748
-0.12,-16,8,0.0510450966083999,0.3957372628126716,1.289963960647583,0.0186728574335575,-0.1613660901784896,1.569541335105896,0.0287992507219314,-0.2252488136291504
-0.12,-16,14,0.0531443633344798,0.4101316438022877,1.2702983617782593,0.0320401117205619,-0.1618855148553848,1.550100564956665,0.0438786968588829,-0.2261014878749847
