Z,Pitch,Roll,Volume,Area,VCx,VCy,VCz,ACx,ACy,ACz
-0.11,-3,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-3,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-2,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-1,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,0,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,1,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,2,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,3,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,4,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,6,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,8,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,12,4,0.0,0,nan,nan,nan,nan,nan,nan
