Beta C_T^* C_Q^*
7.175782662795626710e-01 -9.777310920541787409e-02 -1.768892477397409485e-02
7.350801752132105626e-01 -1.117431184698943342e-01 -2.082909020838576500e-02
7.525820841468584543e-01 -1.264618975924493571e-01 -2.416663764049804472e-02
7.700839930805063460e-01 -1.420147692010378382e-01 -2.765468260644264251e-02
7.875859020141542377e-01 -1.583789107340998481e-01 -3.122748281996101313e-02
8.050878109478020184e-01 -1.754415493950642335e-01 -3.481873356237995265e-02
8.225897198814499101e-01 -1.930395666300391000e-01 -3.837999638637028949e-02
8.400916288150978017e-01 -2.110081897879099444e-01 -4.189443467995260240e-02
8.575935377487456934e-01 -2.292246579557790931e-01 -4.538233396525712116e-02
8.750954466823935851e-01 -2.476349858408941618e-01 -4.889706719825571285e-02
8.925973556160413658e-01 -2.662574193324256377e-01 -5.251262875839810690e-02
9.100992645496892575e-01 -2.851632002702531588e-01 -5.630595593281919470e-02
9.276011734833371492e-01 -3.044417729883528989e-01 -6.033845486104844752e-02
9.451030824169850408e-01 -3.241617208755505630e-01 -6.464117566141265592e-02
9.626049913506329325e-01 -3.443394026093175020e-01 -6.920698228239254013e-02
9.801069002842808242e-01 -3.649243880578345589e-01 -7.399117226433918337e-02
9.976088092179286049e-01 -3.858053334833050352e-01 -7.891984704260658623e-02
1.015110718151576608e+00 -4.068335822681484748e-01 -8.390348540601645644e-02
1.032612627085224277e+00 -4.278564564533469672e-01 -8.885209301723311082e-02
1.050114536018872169e+00 -4.487494991084001184e-01 -9.368822531660828123e-02
1.067616444952520061e+00 -4.694376131226056237e-01 -9.835506794802163777e-02
1.085118353886167952e+00 -4.898988594010378894e-01 -1.028183136130424169e-01
1.102620262819815844e+00 -5.101504126938175565e-01 -1.070623409664162723e-01
1.120122171753463736e+00 -5.302220200932378225e-01 -1.110826923636257652e-01
1.137624080687111627e+00 -5.501264088785499107e-01 -1.148776764449339072e-01
1.155125989620759519e+00 -5.698371038253605692e-01 -1.184419020109831466e-01
1.172627898554407411e+00 -5.892816308358578281e-01 -1.217637349120692797e-01
1.190129807488055302e+00 -6.083527810080946452e-01 -1.248273270499099669e-01
1.207631716421703194e+00 -6.269340806836595226e-01 -1.276183944071546950e-01
1.225133625355350864e+00 -6.449299198650588760e-01 -1.301317344804474585e-01
1.242635534288998755e+00 -6.622878571114582114e-01 -1.323778915958978841e-01
1.260137443222646647e+00 -6.790016384728927434e-01 -1.343865426672285479e-01
1.277639352156294539e+00 -6.950885039945923216e-01 -1.362050203135904969e-01
1.295141261089942430e+00 -7.105422467650798213e-01 -1.378916700847358234e-01
1.312643170023590322e+00 -7.252721115422867681e-01 -1.395051045266955669e-01
1.330145078957238214e+00 -7.390444374792018989e-01 -1.410915134856598196e-01
1.347646987890886106e+00 -7.514467203093735392e-01 -1.426727497902984532e-01
1.365148896824533997e+00 -7.618912068245997649e-01 -1.442378169439454128e-01
1.382650805758181889e+00 -7.696673408551395479e-01 -1.457396967915775554e-01
1.400152714691829559e+00 -7.740409199286771846e-01 -1.470983696321104539e-01
1.417654623625477450e+00 -7.743853978886450218e-01 -1.482096752133957307e-01
1.435156532559125342e+00 -7.703205685085869892e-01 -1.489586179922873233e-01
1.452658441492773234e+00 -7.618287412675275316e-01 -1.492350390995691167e-01
1.470160350426421125e+00 -7.493202169576106408e-01 -1.489493494336812385e-01
1.487662259360069017e+00 -7.336285030624185577e-01 -1.480462095132943912e-01
1.505164168293716909e+00 -7.159296455305516060e-01 -1.465145256310815547e-01
1.522666077227364800e+00 -6.975962466024810960e-01 -1.443927422519688808e-01
1.540167986161012692e+00 -6.800114307895503973e-01 -1.417689992740622795e-01
1.557669895094660584e+00 -6.643776616948811053e-01 -1.387762028129537473e-01
1.575171804028308475e+00 -6.515574472525206273e-01 -1.355824196703570017e-01
1.592673712961956145e+00 -6.419768835132876328e-01 -1.323773003253232439e-01
1.610175621895604037e+00 -6.356099169361550949e-01 -1.293555372671423287e-01
1.627677530829251928e+00 -6.320440824956635728e-01 -1.266987235501745024e-01
1.645179439762899820e+00 -6.306112297734285388e-01 -1.245573760746584435e-01
1.662681348696547712e+00 -6.305533639230548326e-01 -1.230352386235908368e-01
1.680183257630195603e+00 -6.311872697828962986e-01 -1.221781335868167562e-01
1.697685166563843495e+00 -6.320334611669122804e-01 -1.219694316926590860e-01
1.715187075497491387e+00 -6.328846126653492332e-01 -1.223335513736717173e-01
1.732688984431139279e+00 -6.338035595715826309e-01 -1.231477869971376454e-01
1.750190893364787170e+00 -6.350575384174844684e-01 -1.242613388372111327e-01
1.767692802298435062e+00 -6.370096150007781288e-01 -1.255189449756528297e-01
1.785194711232082732e+00 -6.399968971920401151e-01 -1.267853380802107521e-01
1.802696620165730623e+00 -6.442263017146533377e-01 -1.279661999149694085e-01
1.820198529099378515e+00 -6.497123609530979227e-01 -1.290215907248390415e-01
1.837700438033026407e+00 -6.562696633861639928e-01 -1.299690343240336721e-01
1.855202346966674298e+00 -6.635581776634813522e-01 -1.308753688076135513e-01
1.872704255900322190e+00 -6.711665602479887083e-01 -1.318387532749444868e-01
1.890206164833970082e+00 -6.787097947010821697e-01 -1.329643537747615401e-01
1.907708073767617973e+00 -6.859151332967757808e-01 -1.343387083934044490e-01
1.925209982701265865e+00 -6.926746026985176607e-01 -1.360082023747710978e-01
1.942711891634913757e+00 -6.990518952098117023e-01 -1.379663061255794465e-01
1.960213800568561648e+00 -7.052436236070702691e-01 -1.401523618808662719e-01
1.977715709502209318e+00 -7.115064596533247077e-01 -1.424621396924998229e-01
1.995217618435857210e+00 -7.180696998969925415e-01 -1.447677001931943763e-01
2.012719527369505101e+00 -7.250554458557553206e-01 -1.469419345354963935e-01
2.030221436303153215e+00 -7.324254676675708842e-01 -1.488820346382856985e-01
2.047723345236800885e+00 -7.399660728329455761e-01 -1.505263760115090332e-01
2.065225254170448554e+00 -7.473122049137315148e-01 -1.518608484504072320e-01
2.082727163104096668e+00 -7.540023243736074798e-01 -1.529132002388011169e-01
2.100229072037744338e+00 -7.595488813480832935e-01 -1.537368748046490374e-01
2.117730980971392452e+00 -7.635069578981982241e-01 -1.543884133016581728e-01
2.135232889905040121e+00 -7.655262049979096872e-01 -1.549041341944939476e-01
2.152734798838688235e+00 -7.653774735934132378e-01 -1.552820660208941439e-01
2.170236707772335905e+00 -7.629535125393980266e-01 -1.554739158503738450e-01
2.187738616705984018e+00 -7.582503851680326701e-01 -1.553894733779234427e-01
2.205240525639631688e+00 -7.513407691929459009e-01 -1.549128436481937710e-01
2.222742434573279802e+00 -7.423508813241269655e-01 -1.539269941917411344e-01
2.240244343506927471e+00 -7.314494486383867899e-01 -1.523410023074781017e-01
2.257746252440575141e+00 -7.188511423387876631e-01 -1.501136125459731352e-01
2.275248161374223255e+00 -7.048301976820007253e-01 -1.472674623125921067e-01
2.292750070307870924e+00 -6.897347610231716608e-01 -1.438904359905933406e-01
2.310251979241519038e+00 -6.739905664151000231e-01 -1.401235682448248032e-01
2.327753888175166708e+00 -6.580846074095115794e-01 -1.361380309605010330e-01
2.345255797108814821e+00 -6.425250762721321784e-01 -1.321062648318912514e-01
2.362757706042462491e+00 -6.277814302481289355e-01 -1.281736576499386548e-01
2.380259614976110605e+00 -6.142157782957824441e-01 -1.244370141604769081e-01
2.397761523909758274e+00 -6.020215888947839655e-01 -1.209344525107469842e-01
