Alpha CL CD
-1.800000000000000000e+02 2.449293598294706414e-16 1.193673304644704641e-09
-1.789972144846796596e+02 3.499667013317261238e-02 6.125724789312503738e-04
-1.779944289693593191e+02 6.995046437017343743e-02 2.449535477632469680e-03
-1.769916434540390071e+02 1.048185593439011354e-01 5.508639654250935616e-03
-1.759888579387186667e+02 1.395582366810349806e-01 9.786137176019619327e-03
-1.749860724233983262e+02 1.741269353381127427e-01 1.527678751208601769e-02
-1.739832869080779858e+02 2.084823037448657601e-01 2.197386384211116525e-02
-1.729805013927576738e+02 2.425822516909063586e-01 2.986916131058666921e-02
-1.719777158774373333e+02 2.763850018922253682e-01 3.895300706574300609e-02
-1.709749303621169929e+02 3.098491411743015678e-01 4.921427212261198642e-02
-1.699721448467966525e+02 3.429336712091263784e-01 6.064038499002947363e-02
-1.689693593314763120e+02 3.755980587439857743e-01 7.321734707730369329e-02
-1.679665738161560000e+02 4.078022852604588633e-01 8.692974984383562698e-02
-1.669637883008356596e+02 4.395068960027904703e-01 1.017607936730643425e-01
-1.659610027855153191e+02 4.706730483155736611e-01 1.176923084648023449e-01
-1.649582172701949787e+02 5.012625592315299583e-01 1.347047758873602952e-01
-1.639554317548746667e+02 5.312379522510665142e-01 1.527773532941491541e-01
-1.629526462395543263e+02 5.605625032563212873e-01 1.718878992621729052e-01
-1.619498607242339858e+02 5.892002855034255138e-01 1.920130007211562073e-01
-1.609470752089136454e+02 6.171162136378717245e-01 2.131280016320693527e-01
-1.599442896935933049e+02 6.442760866790615548e-01 2.352070331996482799e-01
-1.589415041782729929e+02 6.706466299213712512e-01 2.582230455749338627e-01
-1.579387186629526525e+02 6.961955357003944966e-01 2.821478409808156340e-01
-1.569359331476323121e+02 7.208915029744228375e-01 3.069521082797875278e-01
-1.559331476323119716e+02 7.447042756726754975e-01 3.326054588716685356e-01
-1.549303621169916596e+02 7.676046797632832819e-01 3.590764639382487688e-01
-1.539275766016713192e+02 7.895646589956286654e-01 3.863326929453648195e-01
-1.529247910863509787e+02 8.105573092732397678e-01 4.143407533820641087e-01
-1.519220055710306383e+02 8.305569116151322318e-01 4.430663316810888874e-01
-1.509192200557102979e+02 8.495389636652184162e-01 4.724742352553888969e-01
-1.499164345403899574e+02 8.674802097111785626e-01 5.025284356284739351e-01
-1.489136490250696454e+02 8.843586691760108032e-01 5.331921125810188400e-01
-1.479108635097493050e+02 9.001536635473661452e-01 5.644276992703658458e-01
-1.469080779944289645e+02 9.148458417116646091e-01 5.961969282687713534e-01
-1.459052924791086525e+02 9.284172036619591228e-01 6.284608784557486061e-01
-1.449025069637883121e+02 9.408511225505055142e-01 6.611800227225043125e-01
-1.438997214484679716e+02 9.521323650590131082e-01 6.943142764138814371e-01
-1.428969359331476312e+02 9.622471100616249995e-01 7.278230464555630608e-01
-1.418941504178272908e+02 9.711829655577630671e-01 7.616652811168194148e-01
-1.408913649025069503e+02 9.789289838540896627e-01 7.957995203282985930e-01
-1.398885793871866383e+02 9.854756749769890689e-01 8.301839465075336877e-01
-1.388857938718662979e+02 9.908150182991337651e-01 8.647764358321468059e-01
-1.378830083565459574e+02 9.949404723658928917e-01 8.995346098885750319e-01
-1.368802228412256454e+02 9.978469829095448773e-01 9.344158876387992363e-01
-1.358774373259053050e+02 9.995309890414731946e-01 9.693775376497627549e-01
-1.348746518105849646e+02 9.999904276147617566e-01 1.004376730506474802e+00
-1.338718662952646241e+02 9.992247357518426742e-01 1.039370591362645202e+00
-1.328690807799442837e+02 9.972348515341015185e-01 1.074316252555685747e+00
-1.318662952646239432e+02 9.940232128525946509e-01 1.109170906225033448e+00
-1.308635097493036312e+02 9.895937544212854986e-01 1.143891856872585766e+00
-1.298607242339832908e+02 9.839519029564604002e-01 1.178436573807714938e+00
-1.288579387186629504e+02 9.771045705282310756e-01 1.212762743402092669e+00
-1.278551532033426241e+02 9.690601460922640964e-01 1.246828321110032389e+00
-1.268523676880222837e+02 9.598284852121188315e-01 1.280591583177631332e+00
-1.258495821727019575e+02 9.494208979847814645e-01 1.314011177996040614e+00
-1.248467966573816170e+02 9.378501351841862510e-01 1.347046177029135094e+00
-1.238440111420612766e+02 9.251303726397073213e-01 1.379656125262862743e+00
-1.228412256267409504e+02 9.112771938687510564e-01 1.411801091120489238e+00
-1.218384401114206241e+02 8.963075709847310168e-01 1.443441715787456170e+00
-1.208356545961002837e+02 8.802398439038175981e-01 1.474539261894432185e+00
-1.198328690807799433e+02 8.630936978759337075e-01 1.505055661505660280e+00
-1.188300835654596028e+02 8.448901393675228855e-01 1.534953563361042050e+00
-1.178272980501392766e+02 8.256514703256450094e-01 1.564196379334610532e+00
-1.168245125348189504e+02 8.054012608549169228e-01 1.592748330049670313e+00
-1.158217270194986099e+02 7.841643203407852036e-01 1.620574489620367098e+00
-1.148189415041782695e+02 7.619666670545032217e-01 1.647640829478567603e+00
-1.138161559888579433e+02 7.388354962770485868e-01 1.673914261240907031e+00
-1.128133704735376028e+02 7.147991469810366372e-01 1.699362678599103837e+00
-1.118105849582172766e+02 6.898870671114527564e-01 1.723954998187260390e+00
-1.108077994428969362e+02 6.641297775077308341e-01 1.747661199416875810e+00
-1.098050139275766099e+02 6.375588345113893940e-01 1.770452363246185268e+00
-1.088022284122562695e+02 6.102067913050222003e-01 1.792300709879178111e+00
-1.077994428969359433e+02 5.821071580300271053e-01 1.813179635374210230e+00
-1.067966573816156028e+02 5.532943607319140700e-01 1.833063747166212565e+00
-1.057938718662952624e+02 5.238036991835081091e-01 1.851928898496243869e+00
-1.047910863509749362e+02 4.936713036377100572e-01 1.869752221762680078e+00
-1.037883008356545957e+02 4.629340905627963854e-01 1.886512160804728611e+00
-1.027855153203342695e+02 4.316297174145014015e-01 1.902188502144242621e+00
-1.017827298050139291e+02 3.997965365002785765e-01 1.916762405214519349e+00
-1.007799442896936029e+02 3.674735479922697778e-01 1.930216431618561268e+00
-9.977715877437326242e+01 3.347003521465580778e-01 1.942534573465329872e+00
-9.877437325905292198e+01 3.015171007872133324e-01 1.953702280842921857e+00
-9.777158774373259575e+01 2.679644481146032930e-01 1.963706488501893110e+00
-9.676880222841225532e+01 2.340835008982238841e-01 1.972535641828506492e+00
-9.576601671309192909e+01 1.999157681150566523e-01 1.980179722203786685e+00
-9.476323119777158865e+01 1.655031100951747658e-01 1.986630271856200114e+00
-9.376044568245126243e+01 1.308876872368805733e-01 1.991880418326404723e+00
-9.275766016713092199e+01 9.611190835423599754e-02 1.995924898680584425e+00
-9.175487465181058155e+01 6.121837872022214966e-02 1.998760083621069272e+00
-9.075208913649025533e+01 2.624984786923477420e-02 2.000384001657018018e+00
