Alpha CL CD
-1.318662952646239432e+02 9.940232128525946509e-01 8.318774185382376007e-01
-1.308635097493036312e+02 9.895937544212854986e-01 8.579180083487526476e-01
-1.298607242339832908e+02 9.839519029564604002e-01 8.838264031804665688e-01
-1.288579387186629504e+02 9.771045705282310756e-01 9.095708647075897435e-01
-1.278551532033426241e+02 9.690601460922640964e-01 9.351198559324528370e-01
-1.268523676880222837e+02 9.598284852121188315e-01 9.604420798978148266e-01
-1.258495821727019575e+02 9.494208979847814645e-01 9.855065181148849884e-01
-1.248467966573816170e+02 9.378501351841862510e-01 1.010282468662749178e+00
-1.238440111420612766e+02 9.251303726397073213e-01 1.034739583915112782e+00
-1.228412256267409504e+02 9.112771938687510564e-01 1.058847907848770253e+00
-1.218384401114206241e+02 8.963075709847310168e-01 1.082577912891162564e+00
-1.208356545961002837e+02 8.802398439038175981e-01 1.105900536265360889e+00
-1.198328690807799433e+02 8.630936978759337075e-01 1.128787215788598086e+00
-1.188300835654596028e+02 8.448901393675228855e-01 1.151209925086594366e+00
-1.178272980501392766e+02 8.256514703256450094e-01 1.173141208182958417e+00
-1.168245125348189504e+02 8.054012608549169228e-01 1.194554213425520262e+00
-1.158217270194986099e+02 7.841643203407852036e-01 1.215422726714280088e+00
-1.148189415041782695e+02 7.619666670545032217e-01 1.235721203994267325e+00
-1.138161559888579433e+02 7.388354962770485868e-01 1.255424802981111254e+00
-1.128133704735376028e+02 7.147991469810366372e-01 1.274509414086748560e+00
-1.118105849582172766e+02 6.898870671114527564e-01 1.292951690516904506e+00
-1.108077994428969362e+02 6.641297775077308341e-01 1.310729077509863449e+00
-1.098050139275766099e+02 6.375588345113893940e-01 1.327819840694144826e+00
-1.088022284122562695e+02 6.102067913050222003e-01 1.344203093539371174e+00
-1.077994428969359433e+02 5.821071580300271053e-01 1.359858823880755851e+00
-1.067966573816156028e+02 5.532943607319140700e-01 1.374767919498365520e+00
-1.057938718662952624e+02 5.238036991835081091e-01 1.388912192737091322e+00
-1.047910863509749362e+02 4.936713036377100572e-01 1.402274404153588394e+00
-1.037883008356545957e+02 4.629340905627963854e-01 1.414838285182211441e+00
-1.027855153203342695e+02 4.316297174145014015e-01 1.426588559814386370e+00
-1.017827298050139291e+02 3.997965365002785765e-01 1.437510965289206188e+00
-1.007799442896936029e+02 3.674735479922722758e-01 1.447592271797488728e+00
-9.977715877437326242e+01 3.347003521465605758e-01 1.456820301205349333e+00
-9.877437325905292198e+01 3.015171007872157749e-01 1.465183944808113425e+00
-9.777158774373259575e+01 2.679644481146068458e-01 1.472673180129069559e+00
-9.676880222841225532e+01 2.340835008982297960e-01 1.479279086783155561e+00
-9.576601671309192909e+01 1.999157681150672272e-01 1.484993861430717876e+00
-9.476323119777158865e+01 1.655031100951886158e-01 1.489810831850505668e+00
-9.376044568245126243e+01 1.308876872369022781e-01 1.493724470168237062e+00
-9.275766016713092199e+01 9.611190835426756951e-02 1.496730405280424669e+00
-9.175487465181058155e+01 6.121837872026884148e-02 1.498825434520786093e+00
-9.075208913649025533e+01 2.624984786930384742e-02 1.500007534620480865e+00
-8.974930362116991489e+01 -8.750842777079130205e-03 1.500275872019857237e+00
-8.874651810584958866e+01 -4.374081239700938761e-02 1.499630812594400231e+00
-8.774373259052924823e+01 -7.867719330339995043e-02 1.498073930862712455e+00
-8.674094707520892200e+01 -1.135171834629541687e-01 1.495608018749053691e+00
-8.573816155988858156e+01 -1.482180989347469946e-01 1.492237093976720885e+00
-8.473537604456825534e+01 -1.827374261641157016e-01 1.487966408172356703e+00
-8.373259052924791490e+01 -2.170328740678115487e-01 1.482802454762491839e+00
-8.272980501392757446e+01 -2.510624258465929404e-01 1.476752976745062229e+00
-8.172701949860724824e+01 -2.847843904617701205e-01 1.469826974417248522e+00
-8.072423398328690780e+01 -3.181574537126662938e-01 1.462034713137336128e+00
-7.972144846796658157e+01 -3.511407288523796799e-01 1.453387731192778975e+00
-7.871866295264624114e+01 -3.836938066798715741e-01 1.443898847836842858e+00
-7.771587743732591491e+01 -4.157768050469819454e-01 1.433582171542718386e+00
-7.671309192200557447e+01 -4.473504177197409337e-01 1.422453108506162689e+00
-7.571030640668524825e+01 -4.783759625341009181e-01 1.410528371403217074e+00
-7.470752089136490781e+01 -5.088154287871006209e-01 1.397825988379295392e+00
-7.370473537604456737e+01 -5.386315238054038002e-01 1.384365312207125553e+00
-7.270194986072424115e+01 -5.677877186341511173e-01 1.370167029503188694e+00
-7.169916434540390071e+01 -5.962482927901702201e-01 1.355253169834005789e+00
-7.069637883008357448e+01 -6.239783780247081246e-01 1.339647114472715339e+00
-6.969359331476323405e+01 -6.509440010420826095e-01 1.323373604481676624e+00
-6.869080779944290782e+01 -6.771121251219356374e-01 1.306458747695840694e+00
-6.768802228412256738e+01 -7.024506905941039214e-01 1.288930024062824531e+00
-6.668523676880222695e+01 -7.269286541165521642e-01 1.270816288655873816e+00
-6.568245125348190072e+01 -7.505160267082859882e-01 1.252147771513717700e+00
-6.467966573816156028e+01 -7.731839104907048954e-01 1.232956073273382414e+00
-6.367688022284123406e+01 -7.949045340924600911e-01 1.213274155345862582e+00
-6.267409470752089362e+01 -8.156512866745645463e-01 1.193136323137761634e+00
-6.167130919220056740e+01 -8.353987505342298503e-01 1.172578200541456450e+00
-6.066852367688022696e+01 -8.541227322477354944e-01 1.151636693599746186e+00
-5.966573816155988652e+01 -8.718002923145272698e-01 1.130349940895904126e+00
-5.866295264623956029e+01 -8.884097732667252112e-01 1.108757247825055581e+00
-5.766016713091921986e+01 -9.039308262103400438e-01 1.086899001466291148e+00
-5.665738161559889363e+01 -9.183444357667202018e-01 1.064816562297896896e+00
-5.565459610027855319e+01 -9.316329433851884279e-01 1.042552128481230023e+00
-5.465181058495822697e+01 -9.437800690004617410e-01 1.020148567887504854e+00
-5.364902506963788653e+01 -9.547709310114435022e-01 9.976492124631002323e-01
-5.264623955431756031e+01 -9.645920645613628164e-01 9.750976089353927678e-01
-5.164345403899721987e+01 -9.732314381032940442e-01 9.525372192728661647e-01
-5.064066852367687943e+01 -9.806784682399199982e-01 9.300110637579787065e-01
-4.963788300835653899e+01 -9.869240328325484812e-01 9.075612990523802548e-01
-4.863509749303622698e+01 -9.919604823821420725e-01 8.852287232907560810e-01
-4.763231197771588654e+01 -9.957816496953907359e-01 8.630522001176914593e-01
-4.662952646239554610e+01 -9.983828578625060235e-01 8.410679938000386047e-01
-4.562674094707520567e+01 -9.997609265920114341e-01 8.193090082692560117e-01
-4.462395543175489365e+01 -9.999141769732921015e-01 7.978039243981931428e-01
-4.362116991643455322e+01 -9.988424347730419095e-01 7.765762322957544539e-01
-4.261838440111421278e+01 -9.965470324210298214e-01 7.556431593103101196e-01
-4.161559888579387234e+01 -9.930308099096345487e-01 7.350145002872741085e-01
-4.061281337047353190e+01 -9.882981149284596478e-01 7.146913650859014755e-01
-3.961002785515321989e+01 -9.823548026914975528e-01 6.946648702299914602e-01
-3.860724233983287945e+01 -9.752082361057504700e-01 6.749148177867225762e-01
-3.760445682451253901e+01 -9.668672871992818330e-01 6.554084261523916988e-01
