Alpha CL CD
-1.037883008356545957e+02 4.629340905627934988e-01 1.886503323222810558e+00
-1.027855153203342695e+02 4.316297174144985704e-01 1.902178285372051469e+00
-1.017827298050139291e+02 3.997965365002757454e-01 1.916750596981929622e+00
-1.007799442896936029e+02 3.674735479922667247e-01 1.930202787493759953e+00
-9.977715877437326242e+01 3.347003521465523601e-01 1.942518812068412704e+00
-9.877437325905292198e+01 3.015171007872049502e-01 1.953684078362672549e+00
-9.777158774373259575e+01 2.679644481145921908e-01 1.963685472415207744e+00
-9.676880222841225532e+01 2.340835008982100895e-01 1.972511383710780386e+00
-9.576601671309192909e+01 1.999157681150348087e-01 1.980151729501736124e+00
-9.476323119777158865e+01 1.655031100951425693e-01 1.986597978476312587e+00
-9.376044568245126243e+01 1.308876872368353594e-01 1.991843173874452200e+00
-9.275766016713092199e+01 9.611190835416788536e-02 1.995881956164029969e+00
-9.175487465181058155e+01 6.121837872012138304e-02 1.998710585399932071e+00
-9.075208913649025533e+01 2.624984786908692719e-02 2.000326963401834579e+00
-8.974930362116991489e+01 -8.750842777398135444e-03 2.000730655895484489e+00
-8.874651810584958866e+01 -4.374081239748165567e-02 1.999922914774709293e+00
-8.774373259052924823e+01 -7.867719330409400635e-02 1.997906700649354717e+00
-8.674094707520892200e+01 -1.135171834639742694e-01 1.994686705852865227e+00
-8.573816155988858156e+01 -1.482180989362487100e-01 1.990269378090521624e+00
-8.473537604456825534e+01 -1.827374261663248789e-01 1.984662944911474991e+00
-8.373259052924791490e+01 -2.170328740710598392e-01 1.977877439190057096e+00
-8.272980501392757446e+01 -2.510624258513698415e-01 1.969924725797082887e+00
-8.172701949860724824e+01 -2.847843904687903938e-01 1.960818529634457352e+00
-8.072423398328690780e+01 -3.181574537229834299e-01 1.950574465190333395e+00
-7.972144846796658157e+01 -3.511407288675399974e-01 1.939210067750396727e+00
-7.871866295264624114e+01 -3.836938067021420928e-01 1.926744826368033792e+00
-7.771587743732591491e+01 -4.157768050796908366e-01 1.913200218652392426e+00
-7.671309192200557447e+01 -4.473504177677682381e-01 1.898599747376474633e+00
-7.571030640668524825e+01 -4.783759626046049096e-01 1.882968978833105433e+00
-7.470752089136490781e+01 -5.088154288905768485e-01 1.866335582773398283e+00
-7.370473537604456737e+01 -5.386315239572319058e-01 1.848729373646395446e+00
-7.270194986072424115e+01 -5.677877188568748457e-01 1.830182352715219896e+00
-7.169916434540390071e+01 -5.962482931168127109e-01 1.810728750450592450e+00
-7.069637883008357448e+01 -6.239783785036354669e-01 1.790405068391315524e+00
-6.969359331476323405e+01 -6.509440017441163739e-01 1.769250119407401511e+00
-6.869080779944290782e+01 -6.771121261507455635e-01 1.747305064998651014e+00
-6.768802228412256738e+01 -7.024506921014022076e-01 1.724613447901922170e+00
-6.668523676880222695e+01 -7.269286563242994825e-01 1.701221217855411583e+00
-6.568245125348190072e+01 -7.505160299411161029e-01 1.677176747869608464e+00
-6.467966573816156028e+01 -7.731839152232871104e-01 1.652530837770415539e+00
-6.367688022284123406e+01 -7.949045410186280636e-01 1.627336701100299488e+00
-6.267409470752089362e+01 -8.156512968082040294e-01 1.601649930674442279e+00
-6.167130919220056740e+01 -8.353987653564399762e-01 1.575528437178332908e+00
-6.066852367688022696e+01 -8.541227539214403253e-01 1.549032354146519186e+00
-5.966573816155988652e+01 -8.718003239973184382e-01 1.522223901464648144e+00
-5.866295264623956029e+01 -8.884098195667302633e-01 1.495167198175326284e+00
-5.766016713091921986e+01 -9.039308938502497170e-01 1.467928013829519873e+00
-5.665738161559889363e+01 -9.183445345506389135e-01 1.440573445901442318e+00
-5.565459610027855319e+01 -9.316330876058204202e-01 1.413171508872522963e+00
-5.465181058495822697e+01 -9.437802794862972799e-01 1.385790618499777249e+00
-5.364902506963788653e+01 -9.547712381037151141e-01 1.358498952539931137e+00
-5.264623955431756031e+01 -9.645925124410311691e-01 1.331363666858383032e+00
-5.164345403899721987e+01 -9.732320910772920275e-01 1.304449943505477494e+00
-5.064066852367687943e+01 -9.806794198692484477e-01 1.277819845148380207e+00
-4.963788300835653899e+01 -9.869254191800538312e-01 1.251530948450321201e+00
-4.863509749303622698e+01 -9.919625012288149080e-01 1.225634727962517490e+00
-4.763231197771588654e+01 -9.957845883983146296e-01 1.200174662387293756e+00
-4.662952646239554610e+01 -9.983871337165398652e-01 1.175184037476320942e+00
-4.562674094707520567e+01 -9.997671452706727857e-01 1.150683425459948062e+00
-4.462395543175489365e+01 -9.999232170911291906e-01 1.126677831292041354e+00
-4.362116991643455322e+01 -9.988555701597235936e-01 1.103153513177340228e+00
-4.261838440111421278e+01 -9.965661087946036112e-01 1.080074511446809549e+00
-4.161559888579387234e+01 -9.930584999507163779e-01 1.057378959076462399e+00
-4.061281337047353190e+01 -9.883382862391612012e-01 1.034975302693997845e+00
-3.961002785515321989e+01 -9.824130481229660372e-01 1.012738638567154625e+00
-3.860724233983287945e+01 -9.752926373693783235e-01 9.905074668981994623e-01
-3.760445682451253901e+01 -9.669895132411688854e-01 9.680812907041986826e-01
-3.660167130919219858e+01 -9.575192262234278884e-01 9.452196291464005640e-01
-3.559888579387188656e+01 -9.469011128755057127e-01 9.216431681306465062e-01
-3.459610027855154613e+01 -9.351592918214339800e-01 8.970379101298150415e-01
-3.359331476323120569e+01 -9.223240878608460758e-01 8.710632710091679165e-01
-3.259052924791086525e+01 -9.084340625699816041e-01 8.433650457912038600e-01
-3.158774373259052481e+01 -8.935389005687440767e-01 8.135939527424992379e-01
-3.058495821727021280e+01 -8.777034969978451118e-01 7.814299858158469947e-01
-2.958217270194987236e+01 -8.610137205614901701e-01 7.466119996523016278e-01
-2.857938718662953193e+01 -8.435844939458431169e-01 7.089708203055005153e-01
-2.757660167130919149e+01 -8.255710413650078072e-01 6.684628295264345432e-01
-2.657381615598885105e+01 -8.071843904523533508e-01 6.251996684805025684e-01
-2.557103064066853904e+01 -7.887124407887979860e-01 5.794688457632481970e-01
-2.456824512534819860e+01 -7.705480141149815276e-01 5.317400693984877247e-01
-2.356545961002785816e+01 -7.532250319371589509e-01 4.826533997076106197e-01
-2.256267409470751772e+01 -7.374628051064170409e-01 4.329878747756000790e-01
-2.155988857938720571e+01 -7.242153671146133176e-01 3.836126768282248078e-01
-2.055710306406686527e+01 -7.147160924079279942e-01 3.354263547775439558e-01
-1.955431754874652484e+01 -7.104949176494911312e-01 2.892921028275173279e-01
-1.855153203342618440e+01 -7.133237137374877079e-01 2.459778498947004788e-01
-1.754874651810584396e+01 -7.250157939983974398e-01 2.061087245268068413e-01
-1.654596100278553195e+01 -7.469825249288872815e-01 1.701367486063564138e-01
-1.554317548746519151e+01 -7.794766652794808959e-01 1.383292426151350174e-01
-1.454038997214485107e+01 -8.206033438532465141e-01 1.107743296937278160e-01
-1.353760445682451063e+01 -8.654972432939471716e-01 8.739977582096261632e-02
-1.253481894150419862e+01 -9.063832701624672250e-01 6.800044800017270019e-02
-1.153203342618385818e+01 -9.340932123027811951e-01 5.226977896134835100e-02
-1.052924791086351775e+01 -9.406918901643783748e-01 3.983144311856003095e-02
-9.526462395543177308e+00 -9.218179812626103864e-01 3.026857868561475678e-02
-8.523676880222836871e+00 -8.773991639885683202e-01 2.314901765428767355e-02
-7.520891364902524856e+00 -8.106430306761978066e-01 1.804591750639812642e-02
-6.518105849582184419e+00 -7.262879459087279166e-01 1.455385216443498553e-02
-5.515320334261843982e+00 -6.291224451488248715e-01 1.230082254289741397e-02
-4.512534818941503545e+00 -5.231750825948542349e-01 1.095683945172379846e-02
-3.509749303621163108e+00 -4.114782709230884183e-01 1.023977635797073890e-02
-2.506963788300851093e+00 -2.961526237327645195e-01 9.919144155428771814e-03
-1.504178272980510656e+00 -1.786069074699105641e-01 9.818349151135769351e-03
-5.013927576601702185e-01 -5.974229193294136597e-02 9.815889319151459985e-03
5.013927576601702185e-01 5.974229193294136597e-02 9.815889319151459985e-03
1.504178272980482234e+00 1.786069074699071779e-01 9.818349151135769351e-03
2.506963788300822671e+00 2.961526237327612443e-01 9.919144155428768345e-03
3.509749303621163108e+00 4.114782709230884183e-01 1.023977635797073890e-02
4.512534818941503545e+00 5.231750825948542349e-01 1.095683945172379846e-02
