Alpha CL CD
-1.047910863509749362e+02 4.936713036377100572e-01 1.869751870945020711e+00
-1.037883008356545957e+02 4.629340905627963854e-01 1.886511760593742926e+00
-1.027855153203342695e+02 4.316297174145014015e-01 1.902188046006380029e+00
-1.017827298050139291e+02 3.997965365002785765e-01 1.916761885837046542e+00
-1.007799442896936029e+02 3.674735479922722758e-01 1.930215840832421259e+00
-9.977715877437326242e+01 3.347003521465605758e-01 1.942533902166085458e+00
-9.877437325905292198e+01 3.015171007872134989e-01 1.953701518909592316e+00
-9.777158774373259575e+01 2.679644481146059576e-01 1.963705624713157460e+00
-9.676880222841225532e+01 2.340835008982289356e-01 1.972534663781759789e+00
-9.576601671309192909e+01 1.999157681150642296e-01 1.980178616235552802e+00
-9.476323119777158865e+01 1.655031100951848133e-01 1.986629022967914660e+00
-9.376044568245126243e+01 1.308876872368976707e-01 1.991879010122822313e+00
-9.275766016713092199e+01 9.611190835426011714e-02 1.995923313322065296e+00
-9.175487465181058155e+01 6.121837872025779476e-02 1.998758301797205483e+00
-9.075208913649025533e+01 2.624984786928648631e-02 2.000382002591818420e+00
-8.974930362116991489e+01 -8.750842777105419940e-03 2.000794125009126123e+00
-8.874651810584958866e+01 -4.374081239704790541e-02 1.999996085506255739e+00
-8.774373259052924823e+01 -7.867719330345651629e-02 1.997991033239890246e+00
-8.674094707520892200e+01 -1.135171834630378518e-01 1.994783876490306973e+00
-8.573816155988858156e+01 -1.482180989348679256e-01 1.990381310198229725e+00
-8.473537604456825534e+01 -1.827374261642939757e-01 1.984791844862969334e+00
-8.373259052924791490e+01 -2.170328740680739776e-01 1.978025837058827729e+00
-8.272980501392757446e+01 -2.510624258469795755e-01 1.970095521831043639e+00
-8.172701949860724824e+01 -2.847843904623385547e-01 1.961015047236361442e+00
-8.072423398328690780e+01 -3.181574537135015701e-01 1.950800511290453398e+00
-7.972144846796658157e+01 -3.511407288536100846e-01 1.939470001571631741e+00
-7.871866295264624114e+01 -3.836938066816798498e-01 1.927043637719552560e+00
-7.771587743732591491e+01 -4.157768050496404300e-01 1.913543617034163313e+00
-7.671309192200557447e+01 -4.473504177236506396e-01 1.898994263348241285e+00
-7.571030640668524825e+01 -4.783759625398448234e-01 1.883422079291054319e+00
-7.470752089136490781e+01 -5.088154287955385380e-01 1.866855801996128772e+00
-7.370473537604456737e+01 -5.386315238177983300e-01 1.849326462218232159e+00
-7.270194986072424115e+01 -5.677877186523520026e-01 1.830867446715163327e+00
-7.169916434540390071e+01 -5.962482928168914009e-01 1.811514563615300721e+00
-7.069637883008357448e+01 -6.239783780639285293e-01 1.791306110327305579e+00
-6.969359331476323405e+01 -6.509440010996377923e-01 1.770282943348477245e+00
-6.869080779944290782e+01 -6.771121252063758700e-01 1.748488549088579980e+00
-6.768802228412256738e+01 -7.024506907179572934e-01 1.725969114542742266e+00
-6.668523676880222695e+01 -7.269286542981673316e-01 1.702773596314066884e+00
-6.568245125348190072e+01 -7.505160269745354551e-01 1.678953786094159017e+00
-6.467966573816156028e+01 -7.731839108809284156e-01 1.654564370259010042e+00
-6.367688022284123406e+01 -7.949045346642334975e-01 1.629662980713794340e+00
-6.267409470752089362e+01 -8.156512875121282313e-01 1.604310233525741980e+00
-6.167130919220056740e+01 -8.353987517607969204e-01 1.578569751202051785e+00
-6.066852367688022696e+01 -8.541227340434728310e-01 1.552508163706794786e+00
-5.966573816155988652e+01 -8.718002949427935411e-01 1.526195082449914420e+00
-5.866295264623956029e+01 -8.884097771123555809e-01 1.499703040528016507e+00
-5.766016713091921986e+01 -9.039308318354913885e-01 1.473107391441933034e+00
-5.665738161559889363e+01 -9.183444439922922031e-01 1.446486157364896386e+00
-5.565459610027855319e+01 -9.316329554094784360e-01 1.419919816787919009e+00
-5.465181058495822697e+01 -9.437800865720223920e-01 1.393491020032797012e+00
-5.364902506963788653e+01 -9.547709566807756065e-01 1.367284219715172000e+00
-5.264623955431756031e+01 -9.645921020472467688e-01 1.341385201772955948e+00
-5.164345403899721987e+01 -9.732314928256902142e-01 1.315880501187291163e+00
-5.064066852367687943e+01 -9.806785480948195799e-01 1.290856685045029373e+00
-4.963788300835653899e+01 -9.869241493179988778e-01 1.266399484190680935e+00
-4.863509749303622698e+01 -9.919606522337388599e-01 1.242592753456957189e+00
-4.763231197771588654e+01 -9.957818972603460494e-01 1.219517239456231250e+00
-4.662952646239554610e+01 -9.983832185437601092e-01 1.197249134288671302e+00
-4.562674094707520567e+01 -9.997614518414904561e-01 1.175858393454050965e+00
-4.462395543175489365e+01 -9.999149415262565954e-01 1.155406796973727168e+00
-4.362116991643455322e+01 -9.988435471219632156e-01 1.135945734535348750e+00
-4.261838440111421278e+01 -9.965486499682942867e-01 1.117513698756597229e+00
-4.161559888579387234e+01 -9.930331608717734015e-01 1.100133475928775084e+00
-4.061281337047353190e+01 -9.883015299734830839e-01 1.083809031496977715e+00
-3.961002785515321989e+01 -9.823597605932071763e-01 1.068522098888289307e+00
-3.860724233983287945e+01 -9.752154295622019742e-01 1.054228496163406747e+00
-3.760445682451253901e+01 -9.668777176240652693e-01 1.040854216644444996e+00
-3.660167130919219858e+01 -9.573574549942904799e-01 1.028291368755590351e+00
-3.559888579387188656e+01 -9.466671893039094732e-01 1.016394078687963498e+00
-3.459610027855154613e+01 -9.348212861606650659e-01 1.004974519294045798e+00
-3.359331476323120569e+01 -9.218360767868464256e-01 9.937992920639691086e-01
-3.259052924791086525e+01 -9.077300731077959650e-01 9.825864681716156568e-01
-3.158774373259052481e+01 -8.925242789091248907e-01 9.710036906839761839e-01
-3.058495821727021280e+01 -8.762426371110751955e-01 9.586678526879222062e-01
-2.958217270194987236e+01 -8.589126689544098747e-01 9.451469917165550294e-01
-2.857938718662953193e+01 -8.405663824035990439e-01 9.299651705289480041e-01
-2.757660167130919149e+01 -8.212415561401663622e-01 9.126112308331938427e-01
-2.657381615598885105e+01 -8.009835442086220558e-01 8.925523809760369520e-01
-2.557103064066853904e+01 -7.798477967708565828e-01 8.692535666472871458e-01
-2.456824512534819860e+01 -7.579033559302205125e-01 8.422034134402113237e-01
-2.356545961002785816e+01 -7.352376613637937597e-01 8.109471440566129452e-01
-2.256267409470751772e+01 -7.119630821145959132e-01 7.751261771633918274e-01
