Alpha CL CD
-1.278551532033426241e+02 9.690601460922640964e-01 1.246827667702735010e+00
-1.268523676880222837e+02 9.598284852121188315e-01 1.280590822984587263e+00
-1.258495821727019575e+02 9.494208979847814645e-01 1.314010293694001241e+00
-1.248467966573816170e+02 9.378501351841862510e-01 1.347045148505848999e+00
-1.238440111420612766e+02 9.251303726397073213e-01 1.379654929172270394e+00
-1.228412256267409504e+02 9.112771938687510564e-01 1.411799700366839661e+00
-1.218384401114206241e+02 8.963075709847310168e-01 1.443440098928346238e+00
-1.208356545961002837e+02 8.802398439038175981e-01 1.474537382448710687e+00
-1.198328690807799433e+02 8.630936978759337075e-01 1.505053477152213270e+00
-1.188300835654596028e+02 8.448901393675228855e-01 1.534951025013911119e+00
-1.178272980501392766e+02 8.256514703256450094e-01 1.564193430068083757e+00
-1.168245125348189504e+02 8.054012608549169228e-01 1.592744903858305694e+00
-1.158217270194986099e+02 7.841643203407852036e-01 1.620570509983866758e+00
-1.148189415041782695e+02 7.619666670545032217e-01 1.647636207699117117e+00
-1.138161559888579433e+02 7.388354962770485868e-01 1.673908894524953617e+00
-1.128133704735376028e+02 7.147991469810366372e-01 1.699356447834557970e+00
-1.118105849582172766e+02 6.898870671114527564e-01 1.723947765378154973e+00
-1.108077994428969362e+02 6.641297775077308341e-01 1.747652804714947994e+00
-1.098050139275766099e+02 6.375588345113893940e-01 1.770442621523528048e+00
-1.088022284122562695e+02 6.102067913050222003e-01 1.792289406766012227e+00
-1.077994428969359433e+02 5.821071580300271053e-01 1.813166522684322990e+00
-1.067966573816156028e+02 5.532943607319140700e-01 1.833048537612035123e+00
-1.057938718662952624e+02 5.238036991835081091e-01 1.851911259588440384e+00
-1.047910863509749362e+02 4.936713036377100572e-01 1.869731768766797808e+00
-1.037883008356545957e+02 4.629340905627939429e-01 1.886488448613095725e+00
-1.027855153203342695e+02 4.316297174144990145e-01 1.902161015896612462e+00
-1.017827298050139291e+02 3.997965365002761895e-01 1.916730549478745882e+00
-1.007799442896936029e+02 3.674735479922676129e-01 1.930179517911944531e+00
-9.977715877437326242e+01 3.347003521465536924e-01 1.942491805865617316e+00
-9.877437325905292198e+01 3.015171007872067266e-01 1.953652739401780192e+00
-9.777158774373259575e+01 2.679644481145947998e-01 1.963649110128274478e+00
-9.676880222841225532e+01 2.340835008982135312e-01 1.972469198262940981e+00
-9.576601671309192909e+01 1.999157681150403321e-01 1.980102794646936948e+00
-9.476323119777158865e+01 1.655031100951505629e-01 1.986541221750560471e+00
-9.376044568245126243e+01 1.308876872368470168e-01 1.991777353718471533e+00
-9.275766016713092199e+01 9.611190835418519096e-02 1.995805635505160547e+00
-9.175487465181058155e+01 6.121837872014705001e-02 1.998622101153520569e+00
-9.075208913649025533e+01 2.624984786912481355e-02 2.000224391270379876e+00
-8.974930362116991489e+01 -8.750842777342336329e-03 2.000611769752054236e+00
-8.874651810584958866e+01 -4.374081239739889548e-02 1.999785139809894030e+00
-8.774373259052924823e+01 -7.867719330397204835e-02 1.997747059339839648e+00
-8.674094707520892200e+01 -1.135171834637943855e-01 1.994501755670647913e+00
-8.573816155988858156e+01 -1.482180989359829504e-01 1.990055139711683685e+00
-8.473537604456825534e+01 -1.827374261659323873e-01 1.984414819502263061e+00
-8.373259052924791490e+01 -2.170328740704808579e-01 1.977590113139253480e+00
-8.272980501392757446e+01 -2.510624258505153028e-01 1.969592061026536056e+00
-8.172701949860724824e+01 -2.847843904675299020e-01 1.960433437348034325e+00
-8.072423398328690780e+01 -3.181574537211239728e-01 1.950128760612786616e+00
-7.972144846796658157e+01 -3.511407288647973024e-01 1.938694303054598223e+00
-7.871866295264624114e+01 -3.836938066980974393e-01 1.926148098587425972e+00
-7.771587743732591491e+01 -4.157768050737269960e-01 1.912509948918234448e+00
-7.671309192200557447e+01 -4.473504177589764375e-01 1.897801427298449362e+00
-7.571030640668524825e+01 -4.783759625916459424e-01 1.882045879249773623e+00
-7.470752089136490781e+01 -5.088154288714790141e-01 1.865268419425843094e+00
-7.370473537604456737e+01 -5.386315239290926371e-01 1.847495923563673870e+00
-7.270194986072424115e+01 -5.677877188154207833e-01 1.828757014232407663e+00
-7.169916434540390071e+01 -5.962482930557554406e-01 1.809082038796219871e+00
-7.069637883008357448e+01 -6.239783784137225009e-01 1.788503037666716811e+00
-6.969359331476323405e+01 -6.509440016117372663e-01 1.767053700520769377e+00
-6.869080779944290782e+01 -6.771121259558836591e-01 1.744769307695234195e+00
-6.768802228412256738e+01 -7.024506918146272705e-01 1.721686653432615843e+00
-6.668523676880222695e+01 -7.269286559023493410e-01 1.697843947033815137e+00
-6.568245125348190072e+01 -7.505160293204150568e-01 1.673280687268758671e+00
-6.467966573816156028e+01 -7.731839143104306533e-01 1.648037504597662739e+00
-6.367688022284123406e+01 -7.949045396764252702e-01 1.622155964862379118e+00
-6.267409470752089362e+01 -8.156512948352081516e-01 1.595678327121582196e+00
-6.167130919220056740e+01 -8.353987624569408910e-01 1.568647247236336195e+00
-6.066852367688022696e+01 -8.541227496614863801e-01 1.541105417687515411e+00
-5.966573816155988652e+01 -8.718003177402892101e-01 1.513095132966574941e+00
-5.866295264623956029e+01 -8.884098103789885847e-01 1.484657768797835065e+00
-5.766016713091921986e+01 -9.039308803630299316e-01 1.455833162536119385e+00
-5.665738161559889363e+01 -9.183445147579535339e-01 1.426658881509998533e+00
-5.565459610027855319e+01 -9.316330585688741284e-01 1.397169366100505350e+00
-5.465181058495822697e+01 -9.437802369013473802e-01 1.367394935323015925e+00
-5.364902506963788653e+01 -9.547711756705864472e-01 1.337360645128633063e+00
-5.264623955431756031e+01 -9.645924209407783501e-01 1.307084994265289124e+00
-5.164345403899721987e+01 -9.732319570257274011e-01 1.276578480278414363e+00
-5.064066852367687943e+01 -9.806792235523451584e-01 1.245842020301592967e+00
-4.963788300835653899e+01 -9.869251317890558317e-01 1.214865269192425101e+00
-4.863509749303622698e+01 -9.919620806849277495e-01 1.183624893057604099e+00
-4.763231197771588654e+01 -9.957839732713156256e-01 1.152082891132612419e+00
-4.662952646239554610e+01 -9.983862343728734379e-01 1.120185104955961464e+00
-4.562674094707520567e+01 -9.997658309976183988e-01 1.087860111591005374e+00
-4.462395543175489365e+01 -9.999212973812673377e-01 1.055018766251384799e+00
-4.362116991643455322e+01 -9.988527675277827367e-01 1.021554734712232682e+00
-4.261838440111421278e+01 -9.965620193273193594e-01 9.873464276949568408e-01
-4.161559888579387234e+01 -9.930525361027601194e-01 9.522608008949704494e-01
-4.061281337047353190e+01 -9.883295939605123426e-01 9.161594891979145672e-01
-3.961002785515321989e+01 -9.824003869160791158e-01 8.789076665299129232e-01
-3.860724233983287945e+01 -9.752742068743478487e-01 8.403858231947842761e-01
-3.760445682451253901e+01 -9.669627027908156425e-01 8.005042949793722551e-01
-3.660167130919219858e+01 -9.574802535900279743e-01 7.592198502050441222e-01
-3.559888579387188656e+01 -9.468445038710571193e-01 7.165529766829304981e-01
-3.459610027855154613e+01 -9.350771317315832443e-01 6.726038143636644540e-01
-3.359331476323120569e+01 -9.222049464178119216e-01 6.275641325401105641e-01
-3.259052924791086525e+01 -9.082614529116578295e-01 5.817225849365097456e-01
-3.158774373259052481e+01 -8.932890748067687792e-01 5.354609051030408962e-01
-3.058495821727021280e+01 -8.773423005680165421e-01 4.892398197779750380e-01
-2.958217270194987236e+01 -8.604921167224709455e-01 4.435751355176717481e-01
-2.857938718662953193e+01 -8.428322193379788052e-01 3.990063307623908928e-01
-2.757660167130919149e+01 -8.244876535507652537e-01 3.560615476171752336e-01
-2.657381615598885105e+01 -8.056267112382371476e-01 3.152236461198483219e-01
-2.557103064066853904e+01 -7.864770866652492920e-01 2.769017150950597861e-01
-2.456824512534819860e+01 -7.673473642170214326e-01 2.414112263053069252e-01
-2.356545961002785816e+01 -7.486546989350126857e-01 2.089642652654089550e-01
-2.256267409470751772e+01 -7.309586502874195757e-01 1.796694870677818523e-01
-2.155988857938720571e+01 -7.149987756093226787e-01 1.535400642089790324e-01
-2.055710306406686527e+01 -7.017284453442986791e-01 1.305071419044739334e-01
-1.955431754874652484e+01 -6.923274257004441434e-01 1.104361930975990558e-01
-1.855153203342618440e+01 -6.881591025712741061e-01 9.314400971607712798e-02
-1.754874651810584396e+01 -6.906156454112799548e-01 7.841465908352647507e-02
-1.654596100278553195e+01 -7.007769873748668221e-01 6.601337788918641702e-02
-1.554317548746519151e+01 -7.188303380948443122e-01 5.569793852496435910e-02
-1.454038997214485107e+01 -7.433133649083312200e-01 4.722744157955714728e-02
-1.353760445682451063e+01 -7.704876388626262784e-01 4.036875524006673654e-02
-1.253481894150419862e+01 -7.943918971881431812e-01 3.490096001646406793e-02
-1.153203342618385818e+01 -8.080110707941128290e-01 3.061820040469349566e-02
-1.052924791086351775e+01 -8.052909879930088000e-01 2.733132827792342928e-02
-9.526462395543177308e+00 -7.829274244937874938e-01 2.486867385562891233e-02
-8.523676880222836871e+00 -7.409049708610270235e-01 2.307621876351021936e-02
-7.520891364902524856e+00 -6.817156013361225231e-01 2.181738425889871713e-02
-6.518105849582184419e+00 -6.090145428482708345e-01 2.097259276530405447e-02
-5.515320334261843982e+00 -5.264860686454209127e-01 2.043871518232157763e-02
-4.512534818941503545e+00 -4.372250936585419523e-01 2.012848041055783840e-02
-3.509749303621163108e+00 -3.435588352451599548e-01 1.996989630117178630e-02
-2.506963788300851093e+00 -2.471134521787866634e-01 1.990571141696391780e-02
-1.504178272980510656e+00 -1.489685300018200598e-01 1.989293307734685268e-02
-5.013927576601702185e-01 -4.981428706534693496e-02 1.990240776639471895e-02
5.013927576601702185e-01 4.981428706534693496e-02 1.990240776639471895e-02
1.504178272980482234e+00 1.489685300018172287e-01 1.989293307734685268e-02
2.506963788300822671e+00 2.471134521787839433e-01 1.990571141696392127e-02
3.509749303621163108e+00 3.435588352451599548e-01 1.996989630117178630e-02
4.512534818941503545e+00 4.372250936585419523e-01 2.012848041055783840e-02
5.515320334261843982e+00 5.264860686454209127e-01 2.043871518232157763e-02
6.518105849582155997e+00 6.090145428482685031e-01 2.097259276530403366e-02
7.520891364902496434e+00 6.817156013361205247e-01 2.181738425889868938e-02
8.523676880222836871e+00 7.409049708610270235e-01 2.307621876351021936e-02
9.526462395543177308e+00 7.829274244937874938e-01 2.486867385562891233e-02
1.052924791086348932e+01 8.052909879930085779e-01 2.733132827792335295e-02
1.153203342618382976e+01 8.080110707941131620e-01 3.061820040469338464e-02
1.253481894150417020e+01 7.943918971881436253e-01 3.490096001646392915e-02
1.353760445682451063e+01 7.704876388626262784e-01 4.036875524006673654e-02
1.454038997214485107e+01 7.433133649083312200e-01 4.722744157955714728e-02
1.554317548746516309e+01 7.188303380948448673e-01 5.569793852496408848e-02
1.654596100278550352e+01 7.007769873748672662e-01 6.601337788918609784e-02
1.754874651810584396e+01 6.906156454112799548e-01 7.841465908352647507e-02
1.855153203342618440e+01 6.881591025712741061e-01 9.314400971607712798e-02
1.955431754874649641e+01 6.923274257004441434e-01 1.104361930975985145e-01
2.055710306406683685e+01 7.017284453442982350e-01 1.305071419044733227e-01
2.155988857938717729e+01 7.149987756093222346e-01 1.535400642089783663e-01
2.256267409470751772e+01 7.309586502874195757e-01 1.796694870677818523e-01
2.356545961002785816e+01 7.486546989350126857e-01 2.089642652654089550e-01
2.456824512534817018e+01 7.673473642170210995e-01 2.414112263053060092e-01
2.557103064066851061e+01 7.864770866652490700e-01 2.769017150950586759e-01
2.657381615598885105e+01 8.056267112382371476e-01 3.152236461198483219e-01
2.757660167130919149e+01 8.244876535507652537e-01 3.560615476171752336e-01
2.857938718662950350e+01 8.428322193379782501e-01 3.990063307623896716e-01
2.958217270194984394e+01 8.604921167224703904e-01 4.435751355176704158e-01
3.058495821727018438e+01 8.773423005680159870e-01 4.892398197779735947e-01
3.158774373259052481e+01 8.932890748067687792e-01 5.354609051030408962e-01
3.259052924791086525e+01 9.082614529116578295e-01 5.817225849365097456e-01
3.359331476323117727e+01 9.222049464178114775e-01 6.275641325401092319e-01
3.459610027855151770e+01 9.350771317315829112e-01 6.726038143636633437e-01
3.559888579387185814e+01 9.468445038710567863e-01 7.165529766829293878e-01
3.660167130919219858e+01 9.574802535900279743e-01 7.592198502050441222e-01
3.760445682451253901e+01 9.669627027908156425e-01 8.005042949793722551e-01
3.860724233983285103e+01 9.752742068743476267e-01 8.403858231947833879e-01
3.961002785515319147e+01 9.824003869160788938e-01 8.789076665299120350e-01
4.061281337047353190e+01 9.883295939605123426e-01 9.161594891979145672e-01
4.161559888579387234e+01 9.930525361027601194e-01 9.522608008949704494e-01
4.261838440111418436e+01 9.965620193273192484e-01 9.873464276949559526e-01
4.362116991643452479e+01 9.988527675277826257e-01 1.021554734712231793e+00
4.462395543175486523e+01 9.999212973812673377e-01 1.055018766251384132e+00
4.562674094707520567e+01 9.997658309976183988e-01 1.087860111591005374e+00
4.662952646239554610e+01 9.983862343728734379e-01 1.120185104955961464e+00
4.763231197771585812e+01 9.957839732713156256e-01 1.152082891132611309e+00
4.863509749303619856e+01 9.919620806849278605e-01 1.183624893057603433e+00
4.963788300835653899e+01 9.869251317890558317e-01 1.214865269192425101e+00
5.064066852367687943e+01 9.806792235523451584e-01 1.245842020301592967e+00
5.164345403899719145e+01 9.732319570257276231e-01 1.276578480278414141e+00
5.264623955431753188e+01 9.645924209407786831e-01 1.307084994265287792e+00
5.364902506963787232e+01 9.547711756705866692e-01 1.337360645128632841e+00
5.465181058495821276e+01 9.437802369013474912e-01 1.367394935323015481e+00
5.565459610027855319e+01 9.316330585688741284e-01 1.397169366100505350e+00
5.665738161559886521e+01 9.183445147579538670e-01 1.426658881509997645e+00
5.766016713091920565e+01 9.039308803630301536e-01 1.455833162536118941e+00
5.866295264623954608e+01 8.884098103789886958e-01 1.484657768797834620e+00
5.966573816155988652e+01 8.718003177402892101e-01 1.513095132966574941e+00
6.066852367688022696e+01 8.541227496614863801e-01 1.541105417687515411e+00
